ts_us,event_type,side,price,size,order_id,level
1765351552896492,cancel,B,99.93,0,61,8
1765351552896614,trade,,99.99,9,0,0
1765351552896742,add,S,99.99,10,80,1
1765351552896863,trade,,100.0,32,0,0
1765351552896906,cancel,S,100.08,0,54,10
1765351552897070,add,S,100.09,20,81,8
1765351552897166,trade,,100.0,98,0,0
1765351552897217,cancel,B,99.99,0,34,2
1765351552897313,cancel,B,100.01,0,21,1
1765351552897479,cancel,B,100.01,0,38,1
1765351552897581,add,S,100.01,15,82,2
1765351552897624,modify,S,100.08,30,81,10
1765351552897716,add,S,100.01,10,83,3
1765351552897800,add,S,100.09,37,84,10
1765351552897927,add,B,99.94,26,85,5
1765351552898025,add,B,100.0,3,86,2
1765351552898146,cancel,B,99.94,0,78,5
1765351552898220,trade,,100.0,98,0,0
1765351552898377,modify,S,99.99,6,74,1
1765351552898451,add,B,99.93,38,87,5
1765351552898546,cancel,B,100.0,0,63,2
1765351552898643,add,S,100.01,27,88,3
1765351552898778,add,S,100.08,3,89,7
1765351552898849,add,B,100.0,33,90,2
1765351552898891,cancel,B,99.93,0,70,8
1765351552899015,add,S,100.1,29,91,8
1765351552899188,add,B,99.98,29,92,3
1765351552899280,add,B,99.91,46,93,10
1765351552899310,add,B,99.9,15,94,7
1765351552899405,add,B,99.98,46,95,3
1765351552899528,add,B,99.93,16,96,8
1765351552899649,cancel,S,100.05,0,50,4
1765351552899756,cancel,B,100.0,0,18,2
1765351552899844,add,S,100.08,19,97,5
1765351552899983,add,S,100.09,29,98,8
1765351552900059,add,B,99.92,30,99,9
1765351552900132,modify,S,100.05,8,90,4
1765351552900290,add,B,99.94,25,100,8
1765351552900340,trade,,100.0,64,0,0
1765351552900395,add,S,100.03,29,101,6
1765351552900503,add,B,99.98,42,102,3
1765351552900610,add,S,100.08,40,103,5
1765351552900779,add,B,99.91,35,104,6
1765351552900839,trade,,100.01,70,0,0
1765351552900895,cancel,S,100.08,0,31,5
1765351552901086,add,S,100.01,11,105,2
1765351552901179,add,B,99.9,19,106,6
1765351552901236,add,B,99.92,37,107,9
1765351552901378,modify,B,99.98,28,22,3
1765351552901439,cancel,S,100.09,0,31,8
1765351552901509,add,S,100.09,43,108,8
1765351552901592,modify,S,100.08,6,60,5
1765351552901700,add,B,99.91,41,109,10
1765351552901845,cancel,B,99.93,0,59,5
1765351552901940,modify,B,99.95,12,14,4
1765351552902064,add,S,100.0,26,110,1
1765351552902126,add,S,100.01,48,111,1
1765351552902254,modify,S,100.05,12,37,4
1765351552902319,cancel,S,100.08,0,80,5
1765351552902483,modify,S,100.01,29,88,3
1765351552902571,cancel,B,99.94,0,40,8
1765351552902637,cancel,B,99.93,0,12,5
1765351552902744,add,B,99.92,34,112,9
1765351552902855,trade,,100.01,38,0,0
1765351552902986,modify,B,100.0,3,103,2
1765351552903009,modify,S,100.08,26,29,7
1765351552903162,add,S,100.01,35,113,1
1765351552903206,add,S,100.09,25,114,5
1765351552903372,trade,,100.0,87,0,0
1765351552903420,add,S,100.11,40,115,9
1765351552903519,cancel,S,100.09,0,82,8
1765351552903629,cancel,B,99.98,0,15,3
1765351552903695,add,B,99.99,35,116,2
1765351552903808,add,B,99.92,38,117,9
1765351552903986,cancel,S,100.08,0,114,7
1765351552904053,cancel,S,100.01,0,36,1
1765351552904118,add,S,100.02,44,118,6
1765351552904238,add,S,100.01,26,119,6
1765351552904326,add,B,99.93,43,120,8
1765351552904418,cancel,B,100.01,0,77,1
1765351552904533,add,B,99.9,5,121,10
1765351552904688,cancel,S,100.05,0,76,4
1765351552904720,add,B,99.89,18,122,10
1765351552904809,trade,,99.99,85,0,0
1765351552904894,add,B,99.96,21,123,4
1765351552904993,add,B,99.91,8,124,7
1765351552905186,add,B,99.91,38,125,6
1765351552905204,add,B,99.88,47,126,10
1765351552905375,add,B,100.0,31,127,1
1765351552905442,add,B,99.92,6,128,8
1765351552905532,cancel,B,99.98,0,17,3
1765351552905672,cancel,S,100.08,0,84,7
1765351552905758,add,S,100.07,45,129,7
1765351552905805,modify,B,99.91,8,56,7
1765351552905943,add,B,99.92,7,130,7
1765351552906031,add,S,100.0,44,131,6
1765351552906151,add,S,100.01,7,132,2
1765351552906286,cancel,B,99.92,0,34,9
1765351552906362,cancel,B,99.92,0,32,7
1765351552906476,trade,,100.0,93,0,0
1765351552906497,trade,,99.99,20,0,0
1765351552906675,add,S,100.01,24,133,6
1765351552906705,modify,S,100.07,25,58,7
1765351552906870,cancel,S,100.09,0,7,10
1765351552906979,add,B,99.93,23,134,5
1765351552906991,add,B,99.91,10,135,7
1765351552907185,cancel,S,100.01,0,8,2
1765351552907218,add,B,99.98,20,136,3
1765351552907383,add,S,100.08,4,137,10
1765351552907410,add,S,100.01,29,138,2
1765351552907575,add,S,100.07,14,139,7
1765351552907687,add,B,99.99,44,140,2
1765351552907777,cancel,B,99.93,0,135,5
1765351552907841,trade,,99.99,1,0,0
1765351552907917,add,B,99.98,19,141,3
1765351552908032,add,B,99.9,9,142,7
1765351552908139,add,B,99.93,23,143,9
1765351552908200,add,S,100.06,30,144,7
1765351552908300,modify,B,99.88,21,110,10
1765351552908444,add,B,99.9,40,145,6
1765351552908549,modify,B,99.99,4,93,2
1765351552908622,add,B,99.99,20,146,2
1765351552908786,add,B,99.97,33,147,3
1765351552908872,add,S,100.01,47,148,6
1765351552908973,modify,B,99.99,7,61,2
1765351552909013,cancel,S,100.01,0,20,3
1765351552909171,add,S,100.08,44,149,10
1765351552909263,cancel,B,99.9,0,83,6
1765351552909299,add,S,100.1,4,150,5
1765351552909436,add,B,99.91,4,151,8
1765351552909538,modify,S,100.01,17,20,2
1765351552909640,add,S,100.01,37,152,1
1765351552909774,add,S,100.1,4,153,9
1765351552909848,add,S,100.02,6,154,6
1765351552909955,cancel,S,100.05,0,11,4
1765351552910047,add,S,100.02,19,155,6
1765351552910140,add,B,99.87,41,156,10
1765351552910273,add,B,99.94,25,157,9
1765351552910327,add,S,100.07,22,158,10
1765351552910401,cancel,B,99.9,0,37,6
1765351552910574,cancel,S,100.01,0,101,3
1765351552910601,add,B,99.89,43,159,6
1765351552910780,modify,S,100.01,14,135,2
1765351552910856,add,B,99.96,22,160,3
1765351552910989,add,B,99.95,5,161,3
1765351552911028,modify,S,100.1,27,26,9
1765351552911185,modify,S,100.02,20,10,6
1765351552911207,cancel,B,99.95,0,40,3
1765351552911379,modify,B,99.91,12,43,8
1765351552911477,cancel,B,99.87,0,114,10
1765351552911586,modify,B,99.94,26,60,9
1765351552911651,trade,,100.0,60,0,0
1765351552911789,add,B,99.94,11,162,9
1765351552911816,modify,B,99.93,16,36,5
1765351552911938,cancel,S,100.1,0,27,9
1765351552912027,add,B,99.92,10,163,8
1765351552912146,add,S,100.09,2,164,8
1765351552912244,add,S,100.05,6,165,4
1765351552912338,add,B,100.0,42,166,2
1765351552912433,modify,B,100.0,27,36,1
1765351552912551,cancel,B,99.92,0,36,8
1765351552912591,trade,,99.99,33,0,0
1765351552912718,modify,S,100.07,4,141,10
1765351552912890,add,B,99.99,27,167,1
1765351552912972,modify,B,100.0,29,118,2
1765351552913054,cancel,S,100.1,0,5,9
1765351552913182,add,B,99.87,16,168,10
1765351552913264,add,S,100.02,24,169,2
1765351552913299,trade,,99.99,50,0,0
1765351552913451,add,B,99.89,48,170,6
1765351552913493,add,B,99.97,43,171,4
1765351552913671,add,S,100.01,3,172,6
1765351552913736,add,S,100.02,30,173,3
1765351552913880,add,B,99.94,46,174,3
1765351552913990,trade,,99.99,38,0,0
1765351552914016,add,B,99.99,20,175,1
1765351552914156,add,S,100.09,3,176,8
1765351552914287,cancel,S,100.01,0,74,6
1765351552914297,modify,B,99.93,12,85,5
1765351552914445,modify,B,99.9,6,113,7
1765351552914554,cancel,B,99.94,0,95,9
1765351552914601,cancel,S,100.06,0,21,7
1765351552914714,add,B,100.0,43,177,2
1765351552914828,add,S,100.05,45,178,7
1765351552914946,add,B,99.9,28,179,6
1765351552915026,cancel,S,100.02,0,15,2
1765351552915141,add,S,100.01,10,180,3
1765351552915268,cancel,B,99.99,0,113,1
1765351552915321,modify,B,99.9,19,94,6
1765351552915395,cancel,S,100.09,0,174,8
1765351552915538,add,B,99.95,24,181,3
1765351552915640,add,B,99.99,48,182,2
1765351552915714,add,B,99.93,17,183,9
1765351552915890,add,B,99.87,45,184,10
1765351552915953,add,B,99.99,12,185,2
1765351552916082,add,B,99.91,23,186,6
1765351552916181,add,S,100.09,46,187,5
1765351552916281,trade,,99.99,16,0,0
1765351552916316,modify,B,99.92,18,61,8
1765351552916464,add,S,100.09,40,188,9
1765351552916502,add,B,99.93,27,189,8
1765351552916689,add,S,100.01,42,190,3
1765351552916700,add,S,100.0,50,191,6
1765351552916861,cancel,B,99.95,0,47,3
1765351552916898,modify,B,99.95,6,133,3
1765351552917032,trade,,99.98,45,0,0
1765351552917157,modify,B,99.93,18,21,5
1765351552917226,add,B,99.92,33,192,9
1765351552917373,add,S,100.0,43,193,3
1765351552917470,cancel,S,100.0,0,155,6
1765351552917563,add,S,100.01,42,194,2
1765351552917689,cancel,S,100.05,0,167,4
1765351552917744,cancel,S,100.09,0,8,8
1765351552917860,add,S,100.08,44,195,8
1765351552917942,add,B,99.98,29,196,1
1765351552918044,add,B,99.86,21,197,10
1765351552918182,add,S,100.0,9,198,6
1765351552918288,add,S,99.99,30,199,6
1765351552918306,add,B,99.98,19,200,2
1765351552918440,modify,S,100.05,29,108,4
1765351552918511,modify,B,99.91,6,148,6
1765351552918654,trade,,99.99,3,0,0
1765351552918702,trade,,99.99,31,0,0
1765351552918818,cancel,B,99.98,0,13,1
1765351552918967,modify,B,99.93,1,168,8
1765351552919004,add,S,99.99,24,201,6
1765351552919096,add,S,100.05,36,202,4
1765351552919227,add,S,100.09,40,203,9
1765351552919378,cancel,B,99.98,0,33,2
1765351552919434,cancel,B,99.95,0,94,3
1765351552919556,add,B,99.97,46,204,1
1765351552919633,modify,B,99.93,29,133,8
1765351552919756,add,S,99.98,26,205,6
1765351552919869,cancel,B,99.86,0,77,10
1765351552919956,add,S,100.09,2,206,5
1765351552920038,add,B,99.91,20,207,7
1765351552920183,modify,S,100.01,9,162,1
1765351552920274,modify,S,100.07,24,199,10
1765351552920297,cancel,S,100.09,0,44,9
1765351552920470,modify,S,100.0,8,98,3
1765351552920495,cancel,B,99.98,0,180,2
1765351552920647,add,B,99.97,33,208,4
1765351552920790,cancel,S,100.01,0,121,1
1765351552920857,add,B,99.94,25,209,8
1765351552920931,trade,,99.99,87,0,0
1765351552921089,modify,S,100.09,7,175,5
1765351552921122,add,B,99.93,46,210,5
1765351552921217,cancel,B,99.91,0,126,6
1765351552921362,trade,,99.99,37,0,0
1765351552921406,cancel,S,100.05,0,140,7
1765351552921541,modify,B,99.95,10,198,3
1765351552921682,add,S,100.1,31,211,5
1765351552921718,add,S,100.1,18,212,9
1765351552921808,add,S,100.04,4,213,4
1765351552921976,trade,,99.98,53,0,0
1765351552922033,cancel,B,99.95,0,26,3
1765351552922161,trade,,99.98,53,0,0
1765351552922274,trade,,99.98,97,0,0
1765351552922327,add,S,100.02,37,214,2
1765351552922420,add,S,100.0,27,215,1
1765351552922513,trade,,99.98,51,0,0
1765351552922654,add,S,100.09,1,216,5
1765351552922729,cancel,B,99.91,0,28,6
1765351552922873,add,B,99.96,30,217,3
1765351552922925,add,B,99.97,30,218,3
1765351552923073,add,B,99.91,37,219,6
1765351552923177,modify,S,100.07,29,45,10
1765351552923242,modify,B,99.91,22,132,6
1765351552923303,add,B,99.9,1,220,6
1765351552923424,add,B,99.93,20,221,5
1765351552923565,cancel,S,100.09,0,3,5
1765351552923679,add,S,100.08,11,222,8
1765351552923742,cancel,S,100.09,0,181,5
1765351552923872,trade,,99.98,18,0,0
1765351552923952,add,S,100.07,27,223,10
1765351552924080,add,B,99.93,14,224,9
1765351552924188,add,S,100.03,29,225,2
1765351552924258,cancel,B,99.86,0,20,10
1765351552924361,trade,,99.98,74,0,0
1765351552924459,add,B,99.93,8,226,9
1765351552924578,add,S,100.04,29,227,2
1765351552924598,add,S,100.09,4,228,8
1765351552924762,add,S,100.0,17,229,1
1765351552924791,cancel,B,99.98,0,149,2
1765351552924935,cancel,S,100.0,0,139,1
1765351552924999,trade,,99.98,99,0,0
1765351552925108,modify,B,99.91,29,187,7
1765351552925239,add,S,100.05,6,230,7
1765351552925378,trade,,99.98,84,0,0
1765351552925435,add,S,100.06,9,231,7
1765351552925584,trade,,99.99,60,0,0
1765351552925677,cancel,B,99.93,0,109,9
1765351552925720,add,B,99.92,47,232,5
1765351552925888,add,S,100.07,50,233,7
1765351552925893,add,B,99.85,29,234,10
1765351552926067,cancel,B,99.97,0,224,1
1765351552926096,add,B,99.96,9,235,4
1765351552926255,trade,,99.98,94,0,0
1765351552926364,add,S,99.97,20,236,6
1765351552926409,trade,,99.99,8,0,0
1765351552926562,trade,,99.98,81,0,0
1765351552926677,add,B,99.91,43,237,6
1765351552926739,modify,B,99.91,10,82,7
1765351552926839,add,S,100.03,20,238,4
1765351552926981,add,B,99.98,27,239,1
1765351552927044,cancel,B,99.91,0,35,7
1765351552927117,add,B,99.94,6,240,8
1765351552927259,cancel,B,99.98,0,49,1
1765351552927377,cancel,B,99.98,0,11,2
1765351552927488,cancel,B,99.93,0,172,9
1765351552927517,modify,S,100.09,1,86,5
1765351552927618,trade,,99.99,32,0,0
1765351552927780,cancel,S,100.07,0,53,7
1765351552927861,add,B,99.95,42,241,8
1765351552927936,add,B,99.95,7,242,8
1765351552928083,add,S,100.03,21,243,4
1765351552928143,add,S,99.99,17,244,3
1765351552928261,trade,,99.99,38,0,0
1765351552928310,add,B,99.84,32,245,10
1765351552928461,cancel,B,99.91,0,176,6
1765351552928553,trade,,99.98,94,0,0
1765351552928636,add,S,100.08,35,246,8
1765351552928773,trade,,99.98,10,0,0
1765351552928876,add,B,99.98,15,247,3
1765351552928899,cancel,S,100.03,0,3,4
1765351552929038,add,S,100.07,43,248,10
1765351552929153,add,S,100.06,2,249,7
1765351552929258,cancel,B,99.92,0,138,5
1765351552929380,cancel,B,99.98,0,207,3
1765351552929403,add,B,99.85,17,250,10
1765351552929536,add,B,99.91,30,251,6
1765351552929663,add,S,100.1,6,252,5
1765351552929774,trade,,99.99,49,0,0
1765351552929839,cancel,S,100.0,0,15,1
1765351552929901,add,B,99.92,7,253,6
1765351552930058,trade,,99.98,28,0,0
1765351552930179,modify,B,99.92,3,122,5
1765351552930278,trade,,99.98,23,0,0
1765351552930331,add,B,99.99,26,254,3
1765351552930400,add,S,100.07,44,255,10
1765351552930560,add,S,100.0,47,256,3
1765351552930601,add,S,99.99,28,257,1
1765351552930720,modify,S,100.07,20,175,10
1765351552930841,trade,,99.99,4,0,0
1765351552930972,add,S,100.07,23,258,8
1765351552931061,trade,,99.98,11,0,0
1765351552931189,cancel,B,99.98,0,127,2
1765351552931210,add,S,100.01,25,259,3
1765351552931331,add,B,99.92,24,260,5
1765351552931488,add,B,99.99,29,261,3
1765351552931562,cancel,B,99.98,0,209,2
1765351552931636,cancel,B,99.91,0,167,7
1765351552931743,add,B,99.92,37,262,9
1765351552931857,add,B,99.99,20,263,3
1765351552931925,add,B,99.91,27,264,7
1765351552932029,add,B,99.91,47,265,5
1765351552932171,add,S,100.06,9,266,8
1765351552932229,add,B,99.85,22,267,10
1765351552932347,add,S,100.06,20,268,10
1765351552932432,cancel,B,99.95,0,103,8
1765351552932541,trade,,99.98,95,0,0
1765351552932679,cancel,B,99.92,0,125,6
1765351552932741,add,S,100.04,35,269,4
1765351552932814,cancel,S,100.06,0,14,8
1765351552932917,add,B,99.98,44,270,2
1765351552933054,add,B,99.92,10,271,5
1765351552933182,add,B,99.96,31,272,8
1765351552933265,add,S,100.07,3,273,7
1765351552933337,cancel,S,100.04,0,44,2
1765351552933475,cancel,B,99.85,0,86,10
1765351552933573,cancel,S,99.97,0,205,6
1765351552933646,add,B,99.97,48,274,4
1765351552933757,cancel,B,99.96,0,114,8
1765351552933850,modify,B,99.99,1,257,3
1765351552933952,add,B,99.97,47,275,2
1765351552934009,add,B,99.98,31,276,4
1765351552934135,add,B,99.96,5,277,8
1765351552934229,add,S,99.99,42,278,1
1765351552934304,cancel,S,100.04,0,85,4
1765351552934461,add,S,100.05,26,279,8
1765351552934571,add,S,100.07,2,280,7
1765351552934685,cancel,S,100.05,0,102,8
1765351552934740,add,B,99.93,5,281,5
1765351552934864,add,S,100.01,21,282,3
1765351552934916,add,B,99.97,41,283,8
1765351552935031,cancel,B,99.85,0,201,10
1765351552935136,modify,S,100.1,19,89,5
1765351552935201,cancel,B,99.97,0,161,2
1765351552935305,add,S,100.1,27,284,9
1765351552935467,add,B,99.99,41,285,3
1765351552935559,cancel,B,99.92,0,89,9
1765351552935627,add,B,99.98,4,286,8
1765351552935736,trade,,99.98,72,0,0
1765351552935855,cancel,B,99.98,0,210,8
1765351552935947,add,B,99.97,19,287,1
1765351552935995,add,S,100.01,37,288,3
1765351552936186,modify,S,100.1,19,254,9
1765351552936205,add,S,99.98,49,289,6
1765351552936296,modify,B,99.92,14,226,9
1765351552936404,cancel,S,100.1,0,127,5
1765351552936495,add,B,99.97,8,290,2
1765351552936690,modify,S,100.06,28,108,10
1765351552936781,cancel,S,100.01,0,220,3
1765351552936817,modify,B,99.85,9,31,10
1765351552936967,add,B,99.93,37,291,5
1765351552937025,trade,,99.97,18,0,0
1765351552937187,modify,S,100.1,5,31,5
1765351552937280,modify,S,100.01,27,128,3
1765351552937322,modify,B,99.98,21,202,8
1765351552937425,cancel,B,99.98,0,193,8
1765351552937589,add,S,100.11,24,292,5
1765351552937649,trade,,99.97,94,0,0
1765351552937749,cancel,S,100.04,0,184,2
1765351552937841,add,B,99.98,18,293,4
1765351552937932,modify,S,100.1,19,173,9
1765351552938053,modify,B,99.97,26,25,1
1765351552938149,add,S,100.01,30,294,3
1765351552938191,trade,,99.98,26,0,0
1765351552938379,trade,,99.98,12,0,0
1765351552938474,add,B,99.98,26,295,3
1765351552938571,add,S,100.04,42,296,4
1765351552938602,cancel,B,99.98,0,1,4
1765351552938707,cancel,B,99.98,0,266,8
1765351552938880,add,B,99.92,9,297,7
1765351552938952,add,B,99.96,21,298,2
1765351552939038,modify,S,100.07,25,71,7
1765351552939108,cancel,S,100.04,0,74,2
1765351552939192,cancel,B,99.98,0,85,8
1765351552939318,cancel,S,100.07,0,78,7
1765351552939447,modify,B,99.96,4,45,2
1765351552939566,cancel,B,99.92,0,180,7
1765351552939608,add,S,100.05,39,299,4
1765351552939767,cancel,S,99.99,0,146,1
1765351552939875,modify,S,100.1,7,106,9
1765351552939986,add,S,100.05,25,300,4
1765351552940005,add,S,100.05,1,301,2
1765351552940137,trade,,99.97,50,0,0
1765351552940263,add,S,100.01,50,302,3
1765351552940300,add,B,99.92,3,303,5
1765351552940398,trade,,99.98,55,0,0
1765351552940580,add,S,100.11,10,304,9
1765351552940626,add,B,99.97,35,305,4
1765351552940732,add,S,100.05,45,306,2
1765351552940846,cancel,B,99.97,0,123,1
1765351552940946,add,S,99.99,43,307,1
1765351552941085,cancel,B,99.96,0,90,2
1765351552941108,cancel,S,100.05,0,84,8
1765351552941257,add,S,100.1,24,308,5
1765351552941307,cancel,S,100.05,0,138,2
1765351552941394,add,B,99.91,17,309,9
1765351552941582,trade,,99.97,64,0,0
1765351552941649,add,B,99.84,24,310,10
1765351552941711,add,B,99.85,47,311,10
1765351552941805,add,S,99.98,16,312,1
1765351552941896,add,B,99.97,3,313,3
1765351552942061,modify,B,99.97,14,215,4
1765351552942183,add,S,100.06,8,314,10
1765351552942255,cancel,B,99.97,0,27,3
1765351552942357,trade,,99.98,37,0,0
1765351552942490,modify,S,100.05,1,168,2
1765351552942538,add,S,100.11,40,315,5
1765351552942622,add,S,100.04,47,316,8
1765351552942760,modify,B,99.97,14,126,3
1765351552942794,add,B,99.97,1,317,1
1765351552942988,cancel,B,99.96,0,158,2
1765351552943021,add,S,100.02,18,318,3
1765351552943102,add,B,99.91,45,319,9
1765351552943238,add,S,100.05,33,320,10
1765351552943308,cancel,S,100.05,0,202,2
1765351552943398,add,S,100.05,17,321,4
1765351552943531,trade,,99.98,90,0,0
1765351552943685,add,B,99.96,13,322,4
1765351552943708,modify,B,99.96,6,300,2
1765351552943848,add,B,99.91,50,323,9
1765351552943917,add,B,99.95,11,324,2
1765351552944078,add,S,100.04,14,325,10
1765351552944132,add,S,99.98,33,326,6
1765351552944197,cancel,B,99.97,0,134,3
1765351552944342,modify,B,99.91,15,285,9
1765351552944404,modify,B,99.95,27,72,2
1765351552944590,trade,,99.99,88,0,0
1765351552944671,trade,,99.98,75,0,0
1765351552944766,add,S,99.97,13,327,1
1765351552944873,add,B,99.91,3,328,6
1765351552944950,add,S,100.08,26,329,7
1765351552945054,add,S,100.02,14,330,3
1765351552945114,add,B,99.96,40,331,3
1765351552945270,cancel,B,99.98,0,152,8
1765351552945361,add,B,99.91,27,332,7
1765351552945416,cancel,S,100.05,0,270,4
1765351552945560,modify,B,99.91,26,196,6
1765351552945653,add,S,99.98,18,333,6
1765351552945714,add,S,99.97,4,334,1
1765351552945850,add,S,100.04,7,335,4
1765351552945922,cancel,S,100.11,0,137,9
1765351552946085,add,S,100.05,25,336,4
1765351552946136,trade,,99.98,76,0,0
1765351552946231,modify,B,99.85,23,184,10
1765351552946335,trade,,99.98,73,0,0
1765351552946415,modify,B,99.91,16,253,9
1765351552946495,add,B,99.95,34,337,4
1765351552946652,add,S,100.04,22,338,4
1765351552946782,add,S,99.97,2,339,6
1765351552946808,cancel,S,100.05,0,73,2
1765351552946937,trade,,99.99,76,0,0
1765351552947003,add,B,99.97,28,340,3
1765351552947172,trade,,99.99,23,0,0
1765351552947280,trade,,99.99,29,0,0
1765351552947375,cancel,B,99.91,0,90,7
1765351552947479,add,B,99.98,37,341,1
1765351552947541,modify,B,99.98,11,291,1
